title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
Alex Cross,2012-10-18,45000000,30353232,0.67,5.127,760,101,"Action, Thriller, Crime, Mystery",1.07,100.0,2012-05-20,9.72,100.0
Taken 2,2012-09-27,45000000,376100000,8.36,6.364,7025,91,"Action, Crime, Thriller",,,,37.74,100.0
The Best Exotic Marigold Hotel,2012-02-23,10000000,150501815,15.05,6.9,1438,124,"Drama, Comedy",,,,12.6,100.0
The Cabin in the Woods,2012-04-12,30000000,71038838,2.37,6.645,8409,95,"Horror, Mystery, Comedy",1.82,100.0,2012-04-06,27.23,100.0
Flight,2012-02-22,31000000,161772575,5.22,6.856,6358,138,Drama,71.41,100.0,2011-11-16,68.67,100.0
The Hunger Games,2012-03-12,75000000,694000000,9.25,7.221,23063,142,"Science Fiction, Adventure, Action, Thriller",25.98,100.0,2012-03-10,47.88,100.0
The Watch,2012-07-26,68000000,68267862,1.0,5.591,2439,102,"Comedy, Action, Science Fiction",56.35,100.0,2012-06-17,71.31,100.0
Fire with Fire,2012-08-31,20000000,2500277,0.13,5.673,721,97,"Action, Crime, Drama, Thriller",,,,30.81,100.0
Mirror Mirror,2012-03-15,85000000,183018522,2.15,5.913,3259,106,"Adventure, Comedy, Family, Fantasy",56.72,100.0,2011-12-09,80.03,100.0
Think Like a Man,2012-04-20,12000000,96070507,8.01,6.803,884,122,"Comedy, Romance",,,,19.35,100.0
Life of Pi,2012-11-20,120000000,609016565,5.08,7.406,13635,127,"Adventure, Drama",,,,46.74,100.0
Chronicle,2012-02-01,15000000,145000000,9.67,6.841,5624,84,"Science Fiction, Drama, Thriller",21.78,100.0,2011-08-25,52.8,100.0
Cloud Atlas,2012-10-26,102000000,130482868,1.28,6.893,7420,172,"Drama, Science Fiction",12.07,100.0,2012-07-28,38.72,100.0
The Impossible,2012-09-09,45000000,198100000,4.4,7.368,6589,113,"Drama, Thriller, History",8.02,100.0,2012-04-08,,
Moonrise Kingdom,2012-05-16,16000000,68263166,4.27,7.7,6247,94,"Comedy, Drama, Romance",1.61,100.0,2012-05-16,48.31,100.0
Stolen,2012-09-06,35000000,2106557,0.06,5.483,1098,96,"Action, Crime, Thriller",43.15,100.0,2012-06-09,64.48,100.0
Ice Age: Continental Drift,2012-06-27,95000000,877244782,9.23,6.4,8015,88,"Animation, Comedy, Adventure, Family",,,,,
The Man with the Iron Fists,2012-11-02,15000000,20546518,1.37,5.531,1191,96,Action,6.03,100.0,2012-10-18,38.87,100.0
The Master,2012-09-14,32000000,28258060,0.88,7.105,3247,137,Drama,30.9,100.0,2012-06-17,67.19,100.0
Silver Linings Playbook,2012-11-16,21000000,236412453,11.26,7.148,12525,122,"Drama, Comedy, Romance",,,,,
John Carter,2012-03-07,250000000,284100000,1.14,6.356,6005,132,"Action, Adventure, Science Fiction",,,,,
The Bourne Legacy,2012-08-08,130000000,276600000,2.13,6.24,6038,135,"Action, Thriller",1.23,100.0,2012-08-07,15.16,100.0
Abraham Lincoln: Vampire Hunter,2012-06-20,69000000,116500000,1.69,5.764,3512,105,"Action, Fantasy, Horror",2.36,100.0,2012-05-28,17.1,100.0
21 Jump Street,2012-03-14,42000000,201585328,4.8,6.884,10872,109,"Action, Comedy, Crime",,,,,
Frankenweenie,2012-10-04,39000000,81493846,2.09,7.001,3574,87,"Animation, Comedy, Family",,,,11.22,100.0
Safety Not Guaranteed,2012-06-08,750000,4424699,5.9,6.778,1586,86,"Comedy, Romance, Science Fiction",0.54,100.0,2012-01-15,,
Savages,2012-07-06,45000000,82966152,1.84,6.348,2253,131,"Crime, Drama, Thriller",,,,,
House at the End of the Street,2012-09-21,6900000,44287131,6.42,5.8,1878,101,"Horror, Thriller",1.06,100.0,2012-03-30,3.23,100.0
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,120000000,829747654,6.91,6.456,9296,115,"Adventure, Fantasy, Drama, Romance",,,,,
The Five-Year Engagement,2012-04-27,30000000,54169363,1.81,5.9,1394,124,"Comedy, Romance",,,,,
The Worst Christmas of My Life,2012-12-22,6843500,10703234,1.56,5.893,537,86,Comedy,,,,,
Bachelorette,2012-01-23,3000000,11947954,3.98,5.402,1239,87,"Comedy, Romance",4.94,100.0,2012-01-05,,
Deadfall,2012-11-08,12000000,1900000,0.16,5.97,708,95,"Crime, Drama, Thriller",1.62,100.0,2012-11-03,,
Magic Mike,2012-06-28,7000000,167200000,23.89,6.17,3063,110,"Drama, Comedy",,,,,
Sinister,2012-03-29,3000000,82515113,27.51,6.871,5934,110,"Horror, Thriller, Mystery",,,,,
The Raven,2012-03-09,26000000,29657751,1.14,6.299,1413,111,"Crime, Thriller, Mystery",,,,,
Scary Movie 5,2013-04-11,20000000,78613981,3.93,4.793,2974,88,Comedy,,,,,
Frozen,2013-11-20,150000000,1274219009,8.49,7.249,17406,102,"Animation, Family, Adventure, Fantasy",,,,,
The Wolf of Wall Street,2013-12-25,100000000,407038432,4.07,8.027,25581,180,"Crime, Drama, Comedy",,,,,
The Haunting in Connecticut 2: Ghosts of Georgia,2013-02-01,8000000,5127434,0.64,5.825,550,101,"Horror, Drama, Thriller",,,,,
The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,3.83,7.574,13988,161,"Fantasy, Adventure, Action",,,,,
Pacific Rim,2013-07-11,180000000,411000000,2.28,6.916,13161,131,"Action, Science Fiction, Adventure",,,,,
Rush,2013-09-02,38000000,90200000,2.37,7.732,7684,123,"Drama, Action",,,,,
The Conjuring,2013-07-18,13000000,321293998,24.71,7.537,12540,112,"Horror, Thriller",,,,,
Man of Steel,2013-06-12,225000000,668045518,2.97,6.64,15986,143,"Action, Adventure, Science Fiction",,,,,
Oblivion,2013-04-10,120000000,286168572,2.38,6.668,11331,124,"Action, Science Fiction, Adventure, Mystery",,,,,
Mandela: Long Walk to Freedom,2013-11-28,35000000,27985788,0.8,6.877,566,141,"Drama, History",,,,,
Iron Man 3,2013-04-18,200000000,1215577205,6.08,6.931,23202,130,"Action, Adventure, Science Fiction",,,,,
12 Years a Slave,2013-10-18,20000000,187000000,9.35,7.933,11858,134,"Drama, History",,,,30.12,100.0
Prisoners,2013-09-19,46000000,122126687,2.65,8.101,12815,153,"Drama, Thriller, Crime",,,,,
G.I. Joe: Retaliation,2013-03-27,130000000,371900000,2.86,5.651,5714,110,"Action, Science Fiction, Adventure, Thriller",,,,,
The Purge,2013-05-31,3000000,91266581,30.42,6.25,8750,85,"Science Fiction, Horror, Thriller",,,,39.65,100.0
Captain Phillips,2013-10-10,55000000,218791811,3.98,7.538,7374,134,"Action, Drama, Thriller",,,,,
About Time,2013-09-04,12000000,87100449,7.26,7.906,9123,123,"Drama, Romance, Fantasy",,,,,
Monsters University,2013-06-19,200000000,743559465,3.72,7.045,11187,104,"Animation, Family",,,,,
Her,2013-12-18,23000000,47351251,2.06,7.841,15107,126,"Romance, Science Fiction, Drama",64.29,100.0,2013-12-15,,
We're the Millers,2013-08-07,37000000,270000000,7.3,6.84,9348,110,"Comedy, Crime",0.55,100.0,2013-06-09,3.12,100.0
Now You See Me,2013-05-29,75000000,351723989,4.69,7.332,16556,116,"Thriller, Crime",,,,72.34,100.0
World War Z,2013-06-19,200000000,531865000,2.66,6.822,16302,116,"Action, Horror, Science Fiction, Thriller",,,,,
Evil Dead,2013-04-05,17000000,99010045,5.82,6.585,4931,91,Horror,30.86,100.0,2013-04-01,31.16,100.0
Gravity,2013-10-03,105000000,723192705,6.89,7.168,16136,91,"Science Fiction, Thriller, Drama",10.57,100.0,2013-10-03,50.38,100.0
Elysium,2013-08-07,115000000,286140700,2.49,6.513,9440,109,"Science Fiction, Action, Drama, Thriller",,,,,
Epic,2013-05-15,100000000,268426634,2.68,6.545,2886,102,"Animation, Adventure, Family, Fantasy",56.97,100.0,2013-05-11,55.22,100.0
The Call,2013-03-14,13000000,68572378,5.27,6.793,3021,96,"Crime, Thriller",51.12,100.0,2012-11-08,69.38,100.0
Out of the Furnace,2013-11-12,22000000,15400000,0.7,6.565,2090,116,"Thriller, Drama, Crime",,,,,
Escape Plan,2013-10-09,50000000,137328301,2.75,6.722,5507,115,"Action, Thriller",,,,,
Ida,2013-10-25,1000000,15298355,15.3,7.227,1050,82,"Drama, History",67.27,100.0,2013-08-13,,
All Is Lost,2013-08-23,9000000,6108720,0.68,6.647,1720,106,"Action, Adventure, Drama",,,,,
The Hunger Games: Catching Fire,2013-11-15,130000000,865011746,6.65,7.428,18239,146,"Adventure, Action, Science Fiction",,,,,
Snowpiercer,2013-08-01,39200000,86758912,2.21,6.908,10278,127,"Action, Science Fiction, Drama",,,,,
Carrie,2013-10-16,30000000,84790678,2.83,6.044,4675,101,"Drama, Horror",,,,,
The Secret Life of Walter Mitty,2013-12-18,90000000,188133322,2.09,7.214,8115,114,"Adventure, Comedy, Drama, Fantasy",,,,,
The East,2013-05-31,6500000,2401510,0.37,6.551,842,116,"Drama, Thriller",,,,,
Turbo,2013-07-11,135000000,282570682,2.09,6.264,3627,96,"Animation, Family",,,,,
The Book Thief,2013-11-08,19000000,76586316,4.03,7.488,4483,131,Drama,,,,,
Grown Ups 2,2013-07-11,80000000,247022278,3.09,6.141,4595,101,Comedy,,,,,
Broken City,2013-01-18,56000000,34737199,0.62,5.948,1554,109,"Thriller, Crime, Drama",,,,,
Side Effects,2013-02-07,30000000,63414135,2.11,6.612,3267,106,"Thriller, Crime, Drama",,,,,
Mama,2013-01-17,15000000,146428180,9.76,6.3,4364,100,Horror,,,,,
Spring Breakers,2013-03-06,5000000,32016127,6.4,5.249,3992,94,"Drama, Crime",,,,,
The Croods,2013-03-15,135000000,587204668,4.35,6.93,7448,99,"Animation, Adventure, Family, Comedy",,,,,
Underdogs,2013-07-18,21000000,32768940,1.56,6.991,540,107,"Animation, Adventure, Romance",,,,,
Nymphomaniac: Vol. II,2013-12-25,2350000,4934725,2.1,6.707,3094,124,"Drama, Mystery",,,,,
R.I.P.D.,2013-07-18,130000000,61600000,0.47,5.851,4235,96,"Fantasy, Action, Comedy",,,,,
The Family,2013-09-13,30000000,36894225,1.23,6.359,3074,111,"Crime, Comedy, Action",39.86,100.0,2013-09-08,,
Thor: The Dark World,2013-10-30,170000000,644783140,3.79,6.51,18143,112,"Action, Adventure, Fantasy",,,,36.38,100.0
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013-12-25,9250000,51167572,5.53,6.81,997,115,"Adventure, Comedy, Drama",,,,,
Warm Bodies,2013-01-31,35000000,117000000,3.34,6.468,6321,98,"Horror, Comedy, Romance",,,,,
The Heat,2013-06-27,43000000,229930771,5.35,6.589,4126,117,"Action, Comedy, Crime",,,,,
Machete Kills,2013-09-12,20000000,1750000,0.09,5.623,2009,108,"Action, Crime, Thriller",,,,,
A Haunted House,2013-01-11,2500000,60141683,24.06,5.946,2021,86,"Comedy, Horror",,,,,
Walking with Dinosaurs,2013-12-18,80000000,126500000,1.58,6.2,512,87,"Animation, Family, Adventure",,,,,
After Earth,2013-05-30,130000000,243843127,1.88,5.176,6809,100,"Science Fiction, Action, Adventure",,,,,
Dark Skies,2013-02-21,3500000,27858103,7.96,6.333,1905,97,"Science Fiction, Thriller, Horror",0.54,100.0,2012-11-17,,
The Great Gatsby,2013-05-09,105000000,351040419,3.34,7.353,12830,143,"Drama, Romance",,,,48.59,100.0
American Hustle,2013-12-03,40000000,251171807,6.28,6.855,7645,138,"Drama, Crime",,,,35.59,100.0
Hansel & Gretel: Witch Hunters,2013-01-17,50000000,226349749,4.53,6.096,7031,88,"Fantasy, Horror, Action",,,,,
Snitch,2013-02-21,35000000,42930462,1.23,6.119,2456,112,"Thriller, Drama, Action",,,,,
The Smurfs 2,2013-07-30,105000000,347434178,3.31,5.752,2347,105,"Fantasy, Family, Comedy, Animation",,,,39.22,100.0
Hummingbird,2013-05-07,20000000,8352885,0.42,6.176,1835,100,"Action, Thriller",,,,10.62,100.0
Despicable Me 2,2013-06-26,76000000,970766005,12.77,6.942,11872,98,"Animation, Comedy, Family",,,,43.06,100.0
Man of Tai Chi,2013-07-04,25000000,2054941,0.08,6.093,975,106,"Action, Drama",1.47,100.0,2013-07-01,8.81,100.0
The Host,2013-03-22,44000000,63300000,1.44,6.284,4044,126,"Action, Adventure, Science Fiction",18.17,100.0,2012-12-16,,
Movie 43,2013-01-24,6000000,32443111,5.41,4.6,2473,98,Comedy,,,,,
47 Ronin,2013-12-06,175000000,151783839,0.87,6.201,4079,119,"Drama, Action, Fantasy",,,,,
Admission,2013-03-21,13000000,18637201,1.43,5.601,643,107,"Comedy, Drama, Romance",,,,17.34,100.0
What If,2013-09-07,11000000,8500000,0.77,6.738,2055,98,"Drama, Comedy, Romance",,,,,
Parker,2013-01-23,35000000,46216641,1.32,6.075,3219,118,"Action, Crime",26.84,100.0,2012-11-11,59.12,100.0
Diana,2013-09-19,15000000,21766271,1.45,5.6,503,113,"Drama, Romance",,,,38.77,100.0
The Lunchbox,2013-09-20,3400000,17240000,5.07,7.356,790,104,"Drama, Romance",,,,,
Anchorman 2: The Legend Continues,2013-12-18,50000000,173700000,3.47,6.138,2764,119,Comedy,,,,,
The Hangover Part III,2013-05-23,103000000,362000072,3.51,6.209,9123,100,Comedy,0.94,100.0,2013-03-16,,
Homefront,2013-11-12,22000000,51695362,2.35,6.934,3758,100,"Action, Thriller",,,,27.58,100.0
The Butler,2013-08-16,25000000,177313795,7.09,7.33,2994,132,Drama,,,,24.69,100.0
Oz the Great and Powerful,2013-03-07,200000000,491868548,2.46,5.9,6738,130,"Fantasy, Adventure, Family",2.03,100.0,2013-03-07,,
Olympus Has Fallen,2013-03-20,70000000,170270201,2.43,6.413,6983,120,"Action, Thriller",1.59,100.0,2013-03-17,41.12,100.0
Curse of Chucky,2013-10-08,5000000,3876587,0.78,5.937,1679,97,"Horror, Thriller",1.58,100.0,2013-09-24,22.28,100.0
Oldboy,2013-11-14,30000000,5200000,0.17,5.916,2090,104,"Drama, Thriller, Mystery, Action",3.56,100.0,2013-07-11,30.35,100.0
The World's End,2013-07-18,20000000,46100000,2.31,6.807,5784,109,"Comedy, Action, Science Fiction",,,,,
2 Guns,2013-08-02,61000000,131940411,2.16,6.541,4422,109,"Action, Comedy, Crime",1.55,100.0,2013-02-16,35.88,100.0
Interstellar,2014-11-05,165000000,746606706,4.52,8.468,39065,169,"Adventure, Drama, Science Fiction",7.31,100.0,2014-11-05,42.13,100.0
Gone Girl,2014-10-01,61000000,370890259,6.08,7.889,19716,149,"Mystery, Thriller, Drama",,,,,
The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,3.82,7.331,15147,144,"Action, Adventure, Fantasy",,,,47.97,100.0
The Equalizer,2014-09-24,55000000,192330738,3.5,7.281,9783,132,"Thriller, Action, Crime",,,,35.29,100.0
Maleficent,2014-05-28,180000000,758539785,4.21,7.1,13611,97,"Fantasy, Adventure, Action, Family, Romance",7.94,100.0,2014-05-28,33.88,100.0
X-Men: Days of Future Past,2014-05-15,250000000,746045700,2.98,7.529,16077,132,"Action, Adventure, Science Fiction",2.97,100.0,2014-01-06,34.69,100.0
Transformers: Age of Extinction,2014-06-25,210000000,1104054072,5.26,5.956,8642,165,"Science Fiction, Action, Adventure",0.92,100.0,2014-02-03,38.52,100.0
Whiplash,2014-10-10,3300000,50307484,15.24,8.4,16370,107,"Drama, Music",,,,5.91,100.0
Nightcrawler,2014-10-23,8500000,47425835,5.58,7.709,11544,118,"Crime, Drama, Thriller",1.68,100.0,2014-10-19,,
Teenage Mutant Ninja Turtles,2014-08-07,125000000,485004754,3.88,5.925,7114,101,"Science Fiction, Action, Adventure, Comedy",,,,,
A Haunted House 2,2014-04-17,4000000,25343661,6.34,6.171,1564,87,"Comedy, Horror",,,,,
The Maze Runner,2014-09-10,34000000,348319861,10.24,7.188,17916,113,"Action, Mystery, Science Fiction, Thriller",3.26,100.0,2014-03-18,,
The Interview,2014-12-25,44000000,12342632,0.28,6.19,6142,112,"Action, Comedy",2.07,100.0,2014-12-25,,
Big Hero 6,2014-10-24,165000000,657870525,3.99,7.724,16394,102,"Adventure, Family, Animation, Action, Comedy",,,,,
Fury,2014-10-15,68000000,211817906,3.11,7.541,12761,135,"War, Drama, Action",47.18,100.0,2014-07-28,56.0,100.0
A Most Violent Year,2014-12-31,20000000,12007070,0.6,6.605,1510,125,"Crime, Drama, Thriller",0.54,100.0,2014-08-08,,
Annie,2014-12-18,65000000,136853506,2.11,6.235,1340,118,"Comedy, Drama, Family",54.6,100.0,2014-12-14,,
Taken 3,2014-12-16,48000000,325800000,6.79,6.259,6069,109,"Thriller, Action",2.98,100.0,2014-10-12,,
Godzilla,2014-05-14,160000000,524978362,3.28,6.352,9634,123,"Action, Drama, Science Fiction",11.43,100.0,2014-05-14,,
The Theory of Everything,2014-11-07,15000000,123726688,8.25,7.834,11018,123,"Drama, Romance",0.54,100.0,2014-11-05,3.23,100.0
The Last: Naruto the Movie,2014-12-06,750000,19840000,26.45,7.5,2367,114,"Action, Romance, Animation",,,,,
Million Dollar Arm,2014-05-09,25000000,38307627,1.53,6.717,654,124,Drama,0.55,100.0,2013-12-29,,
How to Train Your Dragon 2,2014-06-05,145000000,621537519,4.29,7.679,10283,102,"Fantasy, Action, Adventure, Animation, Family",,,,44.71,100.0
The Hunger Games: Mockingjay - Part 1,2014-11-19,125000000,755356711,6.04,6.8,16569,123,"Science Fiction, Adventure, Thriller",,,,,
Hercules,2014-07-23,100000000,244819862,2.45,5.795,4292,98,"Action, Adventure",,,,,
Lucy,2014-07-25,40000000,469058574,11.73,6.471,16875,89,"Action, Science Fiction",38.08,100.0,2014-06-16,,
Blended,2014-05-21,40000000,128000000,3.2,6.893,3749,117,"Comedy, Romance",,,,,
Exodus: Gods and Kings,2014-12-03,140000000,268031828,1.91,5.881,4790,150,"Adventure, Drama, Action",0.54,100.0,2014-07-09,7.91,100.0
Frank,2014-05-09,1000000,1897363,1.9,6.855,1701,95,"Comedy, Drama, Mystery",,,,58.06,100.0
God's Not Dead,2014-03-21,17000000,29789000,1.75,5.98,952,113,Drama,,,,,
"Two Days, One Night",2014-05-21,7000000,9016922,1.29,6.905,1004,95,Drama,,,,,
The Amazing Spider-Man 2,2014-04-16,200000000,716934779,3.58,6.5,14037,141,"Action, Adventure, Science Fiction",8.36,100.0,2014-04-16,39.52,100.0
Dawn of the Planet of the Apes,2014-07-08,170000000,710644566,4.18,7.336,12082,130,"Science Fiction, Action, Drama, Thriller",0.93,100.0,2014-04-04,40.0,100.0
Edge of Tomorrow,2014-05-27,178000000,370541256,2.08,7.633,14838,114,"Action, Science Fiction",7.38,100.0,2014-05-27,39.16,100.0
St. Vincent,2014-10-09,13000000,54837234,4.22,7.112,2028,102,Comedy,,,,,
Noah,2014-03-07,125000000,362600000,2.9,5.7,6530,138,"Drama, Adventure",,,,,
John Wick,2014-10-22,20000000,86085191,4.3,7.454,20536,101,"Action, Thriller",,,,,
Jack and the Cuckoo-Clock Heart,2014-01-29,33746302,3484370,0.1,7.212,749,94,"Animation, Romance, Adventure, Drama, Fantasy",,,,,
Beauty and the Beast,2014-02-12,33000000,47430624,1.44,6.219,2145,112,"Fantasy, Romance",,,,,
The Imitation Game,2014-11-14,14000000,233555708,16.68,7.987,17874,113,"History, Drama, Thriller, War",,,,34.81,100.0
Saint Seiya: Legend of Sanctuary,2014-06-21,8000000,17150803,2.14,6.6,713,93,"Action, Animation, Fantasy",,,,,
The Grand Budapest Hotel,2014-02-26,30000000,174600318,5.82,8.0,15838,100,"Comedy, Drama",,,,,
Jack Ryan: Shadow Recruit,2014-01-15,60000000,135500000,2.26,6.122,3031,105,"Action, Drama, Thriller",,,,3.12,100.0
PK,2014-12-18,13000000,118920000,9.15,7.702,1127,153,"Comedy, Drama, Science Fiction",,,,,
The Water Diviner,2014-12-25,22500000,15520023,0.69,6.793,1309,112,"War, Drama",0.54,100.0,2014-12-06,,
Night at the Museum: Secret of the Tomb,2014-12-17,127000000,363204635,2.86,6.221,6167,98,"Adventure, Comedy, Fantasy, Family",,,,,
Divergent,2014-03-14,85000000,288885818,3.4,6.907,13339,140,"Action, Adventure, Science Fiction",,,,,
The Purge: Anarchy,2014-07-17,9000000,111928365,12.44,6.628,6645,103,"Horror, Thriller",2.25,100.0,2014-06-23,30.75,100.0
Penguins of Madagascar,2014-11-22,132000000,373515621,2.83,6.53,4414,92,"Family, Animation, Adventure, Comedy",,,,,
Oculus,2014-04-03,5000000,44459951,8.89,6.495,3138,104,Horror,,,,,
Tammy,2014-07-02,20000000,100375432,5.02,5.335,1266,97,Comedy,,,,40.5,100.0
Afflicted,2014-04-04,318000,121179,0.38,6.412,612,85,"Horror, Thriller",1.51,100.0,2014-01-04,,
Coherence,2014-04-06,50000,139745,2.79,7.219,3308,89,"Thriller, Science Fiction",,,,,
Still Alice,2014-12-05,5000000,44779195,8.96,7.468,3234,101,Drama,,,,,
RoboCop,2014-01-30,120000000,242688965,2.02,5.887,5766,118,"Science Fiction, Action, Crime",15.11,100.0,2014-01-25,44.27,100.0
Under the Skin,2014-03-14,13300000,7229933,0.54,6.14,3732,108,"Thriller, Science Fiction, Drama",1.6,100.0,2014-03-14,,
A Walk Among the Tombstones,2014-09-18,28000000,58834384,2.1,6.328,2974,114,"Crime, Drama, Mystery, Thriller",1.05,100.0,2014-09-07,14.16,100.0
The Lego Movie,2014-02-06,60000000,470759687,7.85,7.422,8329,100,"Animation, Family, Adventure, Comedy, Fantasy",4.28,100.0,2014-01-19,,
Left Behind,2014-10-03,16000000,19682924,1.23,4.266,1380,110,"Thriller, Action, Science Fiction",6.71,100.0,2014-08-08,19.03,100.0
A Most Wanted Man,2014-07-25,15000000,31554855,2.1,6.476,1456,121,Thriller,0.93,100.0,2014-02-03,3.12,100.0
American Sniper,2014-12-25,58800000,542300000,9.22,7.412,13506,133,"War, Action",,,,34.12,100.0
Kill the Messenger,2014-10-09,5000000,5200000,1.04,6.617,901,112,"Crime, Drama, Mystery, Thriller, History",0.54,100.0,2014-07-09,,
Justice League: War,2014-01-21,3500000,5155325,1.47,7.426,1152,79,"Animation, Action",0.98,100.0,2013-08-07,,
Neighbors,2014-05-08,18000000,270665134,15.04,6.184,7207,97,Comedy,6.24,100.0,2014-05-08,31.75,100.0
What We Do in the Shadows,2014-06-19,1600000,6300000,3.94,7.55,3859,86,"Comedy, Horror",0.55,100.0,2014-05-04,3.23,100.0
Paddington,2014-11-24,55000000,326113057,5.93,7.1,4156,95,"Comedy, Adventure, Family",15.18,100.0,2014-11-24,47.32,100.0
Rio 2,2014-03-19,103000000,498781117,4.84,6.519,3706,101,"Animation, Adventure, Comedy, Family",11.15,100.0,2014-03-16,41.88,100.0
3 Days to Kill,2014-02-14,28000000,53260230,1.9,6.105,2287,113,"Action, Drama, Thriller",,,,3.45,100.0
The Guest,2014-09-05,5000000,2700051,0.54,6.642,2099,101,"Mystery, Thriller, Action",2.62,100.0,2014-04-06,7.68,100.0
Need for Speed,2014-03-12,66000000,203277636,3.08,6.429,4634,131,"Action, Crime, Drama, Thriller",39.34,100.0,2013-12-25,44.75,100.0
Selma,2014-12-25,20000000,66787908,3.34,7.382,2300,128,"History, Drama",58.3,100.0,2014-12-12,68.0,100.0
The Book of Life,2014-10-01,50000000,97437106,1.95,7.527,2892,95,"Animation, Adventure, Comedy, Family, Fantasy",,,,,
Transcendence,2014-04-16,100000000,103039258,1.03,6.065,5730,119,"Thriller, Science Fiction, Drama, Mystery",6.99,100.0,2014-04-12,41.03,100.0
Asterix: The Mansions of the Gods,2014-11-26,30000000,51379470,1.71,6.792,1454,85,"Animation, Comedy, Adventure, Family",,,,,
Boyhood,2014-06-05,4000000,48137666,12.03,7.491,5446,165,Drama,2.31,100.0,2014-06-05,35.23,100.0
Pompeii,2014-02-18,100000000,117831631,1.18,5.55,3353,105,"Action, Adventure, History, Romance, Drama",39.65,100.0,2013-08-24,39.72,100.0
Sabotage,2014-03-28,35000000,22126842,0.63,5.609,1505,110,"Action, Drama, Thriller, Crime",13.35,100.0,2014-03-16,46.47,100.0
Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,18000000,103215094,5.73,7.444,13437,120,"Drama, Comedy",,,,,
Dracula Untold,2014-10-01,70000000,217124280,3.1,6.451,6424,92,"Horror, Action, Fantasy",,,,33.34,100.0
Begin Again,2014-06-27,8000000,63500000,7.94,7.235,3960,104,"Comedy, Music, Romance, Drama",2.63,100.0,2014-06-14,,
Seventh Son,2014-12-12,95000000,114178613,1.2,5.516,2622,102,"Adventure, Fantasy",2.3,100.0,2014-11-23,,
Serial (Bad) Weddings,2014-04-16,13000000,176404493,13.57,6.7,3499,94,Comedy,,,,,
Planes: Fire & Rescue,2014-07-17,50000000,151165787,3.02,6.178,908,83,"Animation, Comedy, Adventure, Family",,,,,
The Drop,2014-09-12,12600000,19054534,1.51,6.83,2378,106,"Drama, Crime",,,,,
The Quiet Ones,2014-04-25,200000,17834867,89.17,5.1,676,98,Horror,,,,,
The Babadook,2014-05-22,2000000,10300000,5.15,6.5,6337,94,"Drama, Horror",,,,,
Guardians of the Galaxy,2014-07-30,170000000,772776600,4.55,7.905,29408,121,"Action, Science Fiction, Adventure",,,,,
Unfriended,2014-10-22,1000000,64364198,64.36,5.54,3495,83,"Horror, Mystery",,,,,
The Revenant,2015-12-25,135000000,532950503,3.95,7.538,19084,157,"Western, Drama, Adventure",,,,,
Jurassic World,2015-06-06,150000000,1671537444,11.14,6.699,21367,124,"Action, Adventure, Science Fiction, Thriller",,,,,
Fifty Shades of Grey,2015-02-11,40000000,569651467,14.24,5.872,12280,125,"Drama, Romance, Thriller",,,,,
Chappie,2015-03-04,49000000,104399548,2.13,6.787,8355,120,"Crime, Action, Science Fiction",8.32,100.0,2015-02-28,,
Tomorrowland,2015-05-19,190000000,209200000,1.1,6.29,7288,130,"Adventure, Family, Mystery, Science Fiction",9.86,100.0,2015-01-01,,
The Man from U.N.C.L.E.,2015-08-13,75000000,110045109,1.47,7.078,6757,116,"Comedy, Action, Adventure",,,,,
Terminator Genisys,2015-06-23,155000000,440603537,2.84,5.95,8866,126,"Science Fiction, Action, Thriller",,,,,
Cinderella,2015-03-06,95000000,543514353,5.72,6.824,7336,105,"Romance, Fantasy, Family, Drama",,,,,
Avengers: Age of Ultron,2015-04-22,235000000,1405403694,5.98,7.27,24173,141,"Action, Adventure, Science Fiction",,,,28.94,100.0
Inside Out,2015-06-17,175000000,857611174,4.9,7.91,23229,95,"Animation, Family, Adventure, Drama, Comedy",23.43,100.0,2015-05-18,54.1,100.0
War Room,2015-08-28,3000000,73267874,24.42,7.8,572,120,Drama,,,,,
Self/less,2015-07-10,26000000,31807156,1.22,6.416,3261,117,"Science Fiction, Action, Thriller",0.55,100.0,2015-06-26,,
Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,8.44,7.25,20327,136,"Adventure, Action, Science Fiction",,,,,
The Martian,2015-09-30,108000000,631058917,5.84,7.692,20902,141,"Drama, Adventure, Science Fiction",,,,47.35,100.0
Mad Max: Fury Road,2015-05-13,150000000,378858340,2.53,7.63,23818,121,"Action, Adventure, Science Fiction",5.63,100.0,2015-05-13,40.94,100.0
Mortdecai,2015-01-21,60000000,47318560,0.79,5.519,2736,107,"Comedy, Adventure",5.25,100.0,2015-01-19,34.66,100.0
Ted 2,2015-06-25,68000000,215863606,3.17,6.315,7883,115,"Comedy, Fantasy",8.31,100.0,2015-06-25,,
The Intern,2015-09-23,35000000,194564672,5.56,7.227,7204,121,Comedy,2.06,100.0,2015-09-19,42.19,100.0
Ex Machina,2015-01-21,15000000,36869414,2.46,7.573,14072,108,"Drama, Science Fiction",5.57,100.0,2014-11-01,29.41,100.0
